center_cls,neighbour_cls,attention,distance
tumor_necrosis,background,0.005705829244107008,6
tumor_necrosis,background,0.006564153824001551,7
tumor_necrosis,background,0.007096835877746344,8
tumor_necrosis,cyst,0.00010733433737186715,1
tumor_necrosis,cyst,6.025533002684824e-05,2
tumor_necrosis,cyst,3.359940819791518e-05,3
tumor_necrosis,cyst,3.96181785617955e-05,4
tumor_necrosis,cyst,3.577374081942253e-05,5
tumor_necrosis,cyst,2.9672615710296668e-05,6
tumor_necrosis,cyst,4.004971924587153e-05,7
tumor_necrosis,cyst,3.961358743254095e-05,8
tumor_necrosis,tumor_bleeding,0.00232292409054935,1
tumor_necrosis,tumor_bleeding,0.002412074012681842,2
tumor_necrosis,tumor_bleeding,0.001486540655605495,3
tumor_necrosis,tumor_bleeding,0.0015591024421155453,4
tumor_necrosis,tumor_bleeding,0.0013411877444013953,5
tumor_necrosis,tumor_bleeding,0.000893399294000119,6
tumor_necrosis,tumor_bleeding,0.0012067700736224651,7
tumor_necrosis,tumor_bleeding,0.0009437469416297972,8
tumor_necrosis,tumor_necrosis,0.16713032126426697,1
tumor_necrosis,tumor_necrosis,0.11592972278594971,2
tumor_necrosis,tumor_necrosis,0.05193053558468819,3
tumor_necrosis,tumor_necrosis,0.048683665692806244,4
tumor_necrosis,tumor_necrosis,0.03766416385769844,5
tumor_necrosis,tumor_necrosis,0.026380006223917007,6
tumor_necrosis,tumor_necrosis,0.029402922838926315,7
tumor_necrosis,tumor_necrosis,0.026483971625566483,8
tumor_necrosis,tumor_vital,0.04118889942765236,1
tumor_necrosis,tumor_vital,0.04298616945743561,2
tumor_necrosis,tumor_vital,0.02605748176574707,3
tumor_necrosis,tumor_vital,0.030157363042235374,4
tumor_necrosis,tumor_vital,0.02580133266746998,5
tumor_necrosis,tumor_vital,0.022732868790626526,6
tumor_necrosis,tumor_vital,0.027152169495821,7
tumor_necrosis,tumor_vital,0.027545947581529617,8
tumor_necrosis,extrarenal,0.0006246123230084777,1
tumor_necrosis,extrarenal,0.001530973007902503,2
tumor_necrosis,extrarenal,0.001577765098772943,3
tumor_necrosis,extrarenal,0.0027169364038854837,4
tumor_necrosis,extrarenal,0.002738222246989608,5
tumor_necrosis,extrarenal,0.0027783785481005907,6
tumor_necrosis,extrarenal,0.004291219636797905,7
tumor_necrosis,extrarenal,0.005100074224174023,8
tumor_necrosis,cortex,0.00010878322791540995,1
tumor_necrosis,cortex,0.00033195700962096453,2
tumor_necrosis,cortex,0.00039735547034069896,3
tumor_necrosis,cortex,0.0007822292391210794,4
tumor_necrosis,cortex,0.001005789963528514,5
tumor_necrosis,cortex,0.00106866005808115,6
tumor_necrosis,cortex,0.0016859903698787093,7
tumor_necrosis,cortex,0.0019639134407043457,8
tumor_necrosis,angioinvasion,9.894498589346767e-07,1
tumor_necrosis,angioinvasion,8.695508313394384e-07,2
tumor_necrosis,angioinvasion,1.0300232133886311e-06,3
tumor_necrosis,angioinvasion,2.0163008684903616e-06,4
tumor_necrosis,angioinvasion,1.8277210074302275e-06,5
tumor_necrosis,angioinvasion,2.095590843964601e-06,6
tumor_necrosis,angioinvasion,1.6780154510342982e-06,7
tumor_necrosis,angioinvasion,7.38262940558343e-07,8
tumor_necrosis,mark,8.438177610514686e-05,1
tumor_necrosis,mark,0.00015395191439893097,2
tumor_necrosis,mark,0.00012064781185472384,3
tumor_necrosis,mark,0.00017882382962852716,4
tumor_necrosis,mark,0.00020877193310298026,5
tumor_necrosis,mark,0.0002238428860437125,6
tumor_necrosis,mark,0.0004576686769723892,7
tumor_necrosis,mark,0.0005136613035574555,8
tumor_necrosis,tumor_regression,0.01777147315442562,1
tumor_necrosis,tumor_regression,0.020835813134908676,2
tumor_necrosis,tumor_regression,0.012983189895749092,3
tumor_necrosis,tumor_regression,0.015025964006781578,4
tumor_necrosis,tumor_regression,0.013472703285515308,5
tumor_necrosis,tumor_regression,0.010759796015918255,6
tumor_necrosis,tumor_regression,0.013457794673740864,7
tumor_necrosis,tumor_regression,0.013233406469225883,8
tumor_necrosis,capsule,0.001419628388248384,1
tumor_necrosis,capsule,0.001961402129381895,2
tumor_necrosis,capsule,0.001382995629683137,3
tumor_necrosis,capsule,0.0018350612372159958,4
tumor_necrosis,capsule,0.001703258603811264,5
tumor_necrosis,capsule,0.0014785759849473834,6
tumor_necrosis,capsule,0.0021295982878655195,7
tumor_necrosis,capsule,0.0020982688292860985,8
tumor_vital,background,0.015307371504604816,1
tumor_vital,background,0.01271465141326189,2
tumor_vital,background,0.008384963497519493,3
tumor_vital,background,0.008202441968023777,4
tumor_vital,background,0.006375440862029791,5
tumor_vital,background,0.006216028239578009,6
tumor_vital,background,0.007494670804589987,7
tumor_vital,background,0.007062462158501148,8
tumor_vital,cyst,0.0007733531529083848,1
tumor_vital,cyst,0.0007045299280434847,2
tumor_vital,cyst,0.0004118755750823766,3
tumor_vital,cyst,0.0003911748353857547,4
tumor_vital,cyst,0.0003189404960721731,5
tumor_vital,cyst,0.0002994188398588449,6
tumor_vital,cyst,0.0003503458865452558,7
tumor_vital,cyst,0.0002631787792779505,8
tumor_vital,tumor_bleeding,0.002470332197844982,1
tumor_vital,tumor_bleeding,0.0024691319558769464,2
tumor_vital,tumor_bleeding,0.0015362417325377464,3
tumor_vital,tumor_bleeding,0.0015615933807566762,4
tumor_vital,tumor_bleeding,0.0012997390003874898,5
tumor_vital,tumor_bleeding,0.0011517771054059267,6
tumor_vital,tumor_bleeding,0.00137089763302356,7
tumor_vital,tumor_bleeding,0.0011175591498613358,8
tumor_vital,tumor_necrosis,0.00361680518835783,1
tumor_vital,tumor_necrosis,0.0039100018329918385,2
tumor_vital,tumor_necrosis,0.0025751302018761635,3
tumor_vital,tumor_necrosis,0.0027983274776488543,4
tumor_vital,tumor_necrosis,0.0023254987318068743,5
tumor_vital,tumor_necrosis,0.0021791576873511076,6
tumor_vital,tumor_necrosis,0.002942376071587205,7
tumor_vital,tumor_necrosis,0.002384856343269348,8
tumor_vital,tumor_vital,0.1702173501253128,1
tumor_vital,tumor_vital,0.12636704742908478,2
tumor_vital,tumor_vital,0.0733737125992775,3
tumor_vital,tumor_vital,0.06975942105054855,4
tumor_vital,tumor_vital,0.049804188311100006,5
tumor_vital,tumor_vital,0.044123101979494095,6
tumor_vital,tumor_vital,0.0504208542406559,7
tumor_vital,tumor_vital,0.043368805199861526,8
tumor_vital,extrarenal,0.004012651741504669,1
tumor_vital,extrarenal,0.0059508271515369415,2
tumor_vital,extrarenal,0.0050047580152750015,3
tumor_vital,extrarenal,0.006553425919264555,4
tumor_vital,extrarenal,0.005954211577773094,5
tumor_vital,extrarenal,0.006580177694559097,6
tumor_vital,extrarenal,0.009088534861803055,7
tumor_vital,extrarenal,0.009659240953624249,8
tumor_vital,cortex,0.004154938738793135,1
tumor_vital,cortex,0.006077337544411421,2
tumor_vital,cortex,0.004701913334429264,3
tumor_vital,cortex,0.006067125592380762,4
tumor_vital,cortex,0.005426181014627218,5
tumor_vital,cortex,0.005417054519057274,6
tumor_vital,cortex,0.007659429684281349,7
tumor_vital,cortex,0.007360863499343395,8
tumor_vital,angioinvasion,6.9684065238107e-06,1
tumor_vital,angioinvasion,1.0859042959054932e-05,2
tumor_vital,angioinvasion,9.452308404434007e-06,3
tumor_vital,angioinvasion,1.1909216482308693e-05,4
tumor_vital,angioinvasion,8.958090802480001e-06,5
tumor_vital,angioinvasion,8.986557986645494e-06,6
tumor_vital,angioinvasion,1.2203380720166024e-05,7
tumor_vital,angioinvasion,1.116982639359776e-05,8
tumor_vital,mark,0.0014740631449967623,1
tumor_vital,mark,0.002523219445720315,2
tumor_vital,mark,0.0021160212345421314,3
tumor_vital,mark,0.0029198925476521254,4
tumor_vital,mark,0.00284261885099113,5
tumor_vital,mark,0.0029619229026138783,6
tumor_vital,mark,0.0044935112819075584,7
tumor_vital,mark,0.004207157529890537,8
tumor_vital,tumor_regression,0.018101584166288376,1
tumor_vital,tumor_regression,0.01959533616900444,2
tumor_vital,tumor_regression,0.013161526061594486,3
tumor_vital,tumor_regression,0.014316514134407043,4
tumor_vital,tumor_regression,0.011190326884388924,5
tumor_vital,tumor_regression,0.010478868149220943,6
tumor_vital,tumor_regression,0.0127105126157403,7
tumor_vital,tumor_regression,0.011415413580834866,8
tumor_vital,capsule,0.005294881295412779,1
tumor_vital,capsule,0.005120276007801294,2
tumor_vital,capsule,0.0030411670450121164,3
tumor_vital,capsule,0.0031882107723504305,4
tumor_vital,capsule,0.0023757838644087315,5
tumor_vital,capsule,0.002157526323571801,6
tumor_vital,capsule,0.002592414151877165,7
tumor_vital,capsule,0.0022986982949078083,8
extrarenal,background,0.028621092438697815,1
extrarenal,background,0.02045537531375885,2
